EAN;stan
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.7138E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90764E+12;0
5.90764E+12;0
5.90764E+12;0
5.90764E+12;0
5.90764E+12;0
5.90261E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90417E+12;0
5.90261E+12;0
5.90417E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
6.66594E+11;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90181E+12;0
5.90377E+12;0
8.10038E+11;0
8.7101E+12;0
8.7101E+12;0
8.72069E+12;0
8.7101E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90421E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90532E+12;0
5.90532E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90144E+12;0
5.90404E+12;0
5.90404E+12;0
5.90448E+12;0
5.90448E+12;0
5.90448E+12;0
5.90448E+12;0
5.90483E+12;0
5.90483E+12;0
5.90483E+12;0
5.90483E+12;0
5.90483E+12;0
5.90483E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
5.90527E+12;0
47406177660;0
47406178414;0
5.90222E+12;0
5.9077E+12;0
5.90222E+12;0
5.90222E+12;0
5.90222E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.52978E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.90052E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90341E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90341E+12;0
5.90169E+12;0
5.90341E+12;0
5.90341E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90341E+12;0
5.90169E+12;0
5.90341E+12;0
5.90341E+12;0
5.90341E+12;0
5.90341E+12;0
5.90341E+12;0
5.90169E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
5.90767E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
8.05866E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
5.7138E+12;0
8.72354E+11;0
5.90821E+12;0
5.90298E+12;0
5.90298E+12;0
5.90298E+12;0
5.90298E+12;0
5.90298E+12;0
9.78837E+12;0
9.78837E+12;0
9.78837E+12;0
5.90298E+12;0
5.90298E+12;0
5.90298E+12;0
6.86141E+11;0
8.72354E+11;0
72239304860;0
72239304877;0
72239304914;0
72239304907;0
72239304884;0
72239304891;0
72239006207;0
72239007006;0
72239009604;0
72239009901;0
72239300138;0
72239302644;0
72239302651;0
72239308318;0
72239329474;0
72239311370;0
72239313923;0
72239313930;0
72239313947;0
72239313954;0
72239329863;0
72239325698;0
72239326503;0
72239311691;0
72239316450;0
72239316467;0
72239316764;0
72239325407;0
72239326145;0
72239317426;0
72239317433;0
72239317440;0
72239317457;0
72239325254;0
72239325261;0
72239311905;0
72239311929;0
72239325278;0
72239325285;0
72239311943;0
72239311967;0
8.51606E+11;0
72239306284;0
72239308554;0
72239321324;0
72239303962;0
72239313060;0
72239306307;0
72239306314;0
72239321348;0
72239303955;0
72239328620;0
72239317372;0
72239309582;0
72239309599;0
72239306369;0
72239306376;0
72239305676;0
72239309674;0
72239323816;0
72239323823;0
72239323830;0
72239323847;0
72239323281;0
72239323298;0
72239329993;0
72239323328;0
72239323335;0
72239323557;0
72239303375;0
72239323793;0
72239323809;0
72239311820;0
72239311844;0
72239323304;0
72239323311;0
72239312803;0
72239312810;0
72239312827;0
72239111017;0
72239111024;0
72239112205;0
72239318850;0
72239309070;0
72239309087;0
72239318287;0
72239316894;0
72239325759;0
72239318164;0
72239317082;0
72239325872;0
72239327395;0
72239318171;0
72239323687;0
72239318188;0
72239318218;0
72239318225;0
72239317273;0
72239317280;0
72239317389;0
72239317105;0
72239318195;0
72239318232;0
72239318249;0
72239317525;0
72239317471;0
72239317488;0
72239317495;0
72239317501;0
72239317518;0
72239317334;0
72239317341;0
5.90262E+12;0
5.90262E+12;0
5.90262E+12;0
5.90262E+12;0
5.90262E+12;0
5.90262E+12;0
5.90262E+12;0
5.90569E+13;0
5.90569E+12;0
5.90569E+12;0
5.90569E+12;0
5.90569E+12;0
5.90569E+12;0
5.90569E+12;0
5.90569E+12;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
67255444979;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
6.72552E+11;0
4.89713E+12;0
4.89713E+12;0
5.90432E+12;0
5.90432E+12;0
5.90432E+12;0
4.89713E+12;0
5.90432E+12;0
5.90432E+12;0
4.89713E+12;0
4.89713E+12;0
4.71242E+12;0
8.43654E+12;0
8.43654E+12;0
5.90569E+12;0
4.89713E+12;0
4.71242E+12;0
5.90829E+12;0
5.90829E+12;0
5.90829E+12;0
5.05084E+12;0
5.90827E+12;0
5.90821E+12;0
7.93592E+11;0
7.93592E+11;0
7.93592E+11;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90175E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90536E+12;0
5.90536E+12;0
5.90436E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90544E+12;0
7.55907E+11;0
7.55907E+11;0
5.06062E+12;0
5.06062E+12;0
5.9027E+12;0
5.90475E+12;0
5.90475E+12;0
9.00162E+12;0
9.00162E+12;0
6.92716E+12;0
5.90332E+12;0
5.90332E+12;0
5.90663E+12;0
5.90441E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
6.92578E+12;0
5.99988E+12;0
4.0524E+12;0
4.0524E+12;0
4.0524E+12;0
4.0524E+12;0
5.9078E+12;0
5.90202E+12;0
5.90202E+12;0
5.9075E+12;0
5.06007E+12;0
5.90253E+12;0
5.90253E+12;0
5.90253E+12;0
5.90253E+12;0
5.90253E+12;0
5.90253E+12;0
5.90253E+12;0
47406178094;0
47406178575;0
47406180721;0
44677205405;0
5.90377E+12;0
5.90377E+12;0
5.90377E+12;0
5.90169E+12;0
5.90341E+12;0
5.90341E+12;0
5.90341E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90169E+12;0
5.90341E+12;0
5.90675E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
8.00192E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
5.90827E+12;0
5.90303E+12;0
5.90303E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
8.41308E+12;0
5.90656E+11;0
5.90656E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
7.61237E+12;0
5.90176E+12;0
5.90176E+12;0
7.29012E+12;0
7.29012E+12;0
5.90176E+12;0
5.90709E+12;0
5.90709E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
5.90176E+12;0
8.00101E+12;0
5.90002E+12;0
5.90002E+12;0
5.90002E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
5.9052E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
4.0086E+12;0
8.46887E+11;0
8.46887E+11;0
8.46887E+11;0
5.90375E+12;0
5.90544E+12;0
8.50028E+11;0
5.904E+12;0
5.90762E+12;0
5.90762E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
5.90538E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
4.89504E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
4.89517E+12;0
4.89517E+12;0
4.89517E+12;0
6.94417E+12;0
6.94417E+12;0
6.94417E+12;0
4.89517E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+11;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90829E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90538E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
5.90296E+12;0
3.02319E+12;0
5.90645E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+11;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.01042E+12;0
5.90432E+12;0
5.90509E+12;0
5.90509E+12;0
9.00162E+12;0
47406178513;0
47406187492;0
47406185245;0
5.90253E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.97161E+12;0
6.93451E+12;0
6.93451E+12;0
6.93451E+12;0
6.93451E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90051E+12;0
5.90069E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90275E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90433E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90628E+12;0
5.90433E+12;0
